Gene	Chr	Strand	Fit.start	Fit.end	polyA_ID	PeakClass	OriginalPeak	DataOrigin	exon.intron
Lamp2	X	-1	38419492	38419899	Lamp2:X:38419492-38419899:-1	Merged	Lamp2:X:38419492-38419888:-1	TIP-example-Sham	non-juncs
Lamp2	X	-1	38405044	38405482	Lamp2:X:38405044-38405482:-1	Merged	Lamp2:X:38405044-38405482:-1	TIP-example-Sham	non-juncs
Lamp2	X	-1	38455814	38456306	Lamp2:X:38455814-38456306:-1	Merged	Lamp2:X:38455824-38456298:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8722219	8722809	Sash1:10:8722219-8722809:-1	Merged	Sash1:10:8722219-8722809:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8786216	8886070	Sash1:10:8786216-8886070:-1	Merged	Sash1:10:8789351-8886070:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8813694	8814144	Sash1:10:8813694-8814144:-1	Merged	Sash1:10:8813700-8814138:-1	TIP-example-Sham	junctions
Sash1	10	-1	8884995	8885451	Sash1:10:8884995-8885451:-1	Merged	Sash1:10:8884995-8885445:-1	TIP-example-Sham	junctions
Ly6e	15	1	74958936	74959340	Ly6e:15:74958936-74959340:1	Merged	Ly6e:15:74958936-74959338:1	TIP-example-Sham	non-juncs
Ly6e	15	1	74956073	74956513	Ly6e:15:74956073-74956513:1	Merged	Ly6e:15:74956075-74956513:1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106654217	106654578	Pecam1:11:106654217-106654578:-1	Merged	Pecam1:11:106654217-106654578:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106661210	106661630	Pecam1:11:106661210-106661630:-1	Merged	Pecam1:11:106661219-106661609:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106660246	106660702	Pecam1:11:106660246-106660702:-1	Merged	Pecam1:11:106660246-106660702:-1	TIP-example-Sham	non-juncs
Pnkd	1	1	74285960	74287456	Pnkd:1:74285960-74287456:1	Merged	Pnkd:1:74285960-74287456:1	TIP-example-Sham	non-juncs
Pnkd	1	1	74353281	74353694	Pnkd:1:74353281-74353694:1	Merged	Pnkd:1:74353289-74353691:1	TIP-example-Sham	non-juncs
Thy1	9	1	44048153	44048579	Thy1:9:44048153-44048579:1	Merged	Thy1:9:44048153-44048579:1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36567751	36568043	Dlc1:8:36567751-36568043:-1	Merged	Dlc1:8:36567751-36568041:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36568399	36568849	Dlc1:8:36568399-36568849:-1	Merged	Dlc1:8:36568399-36568849:-1	TIP-example-Sham	non-juncs
Dlc1	8	-1	36593214	36613672	Dlc1:8:36593214-36613672:-1	Merged	Dlc1:8:36593228-36613672:-1	TIP-example-Sham	non-juncs
Pdgfra	5	1	75197708	75198215	Pdgfra:5:75197708-75198215:1	Merged	Pdgfra:5:75197717-75198215:1	TIP-example-Sham	non-juncs
Lrrc58	16	1	37888444	37888858	Lrrc58:16:37888444-37888858:1	Merged	Lrrc58:16:37888449-37888858:1	TIP-example-Sham	non-juncs
Lrrc58	16	1	37883336	37883588	Lrrc58:16:37883336-37883588:1	Merged	Lrrc58:16:37883336-37883588:1	TIP-example-Sham	non-juncs
Lrrc58	16	1	37883896	37884199	Lrrc58:16:37883896-37884199:1	Merged	Lrrc58:16:37883896-37884190:1	TIP-example-Sham	non-juncs
Lrrc58	16	1	37869210	37869714	Lrrc58:16:37869210-37869714:1	Merged	Lrrc58:16:37869210-37869714:1	TIP-example-Sham	non-juncs
Mast4	13	-1	102905759	102906224	Mast4:13:102905759-102906224:-1	Merged	Mast4:13:102905768-102906224:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102732486	102732787	Mast4:13:102732486-102732787:-1	Merged	Mast4:13:102732486-102732787:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103018616	103019012	Mast4:13:103018616-103019012:-1	Merged	Mast4:13:103018622-103019000:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102852533	102852851	Mast4:13:102852533-102852851:-1	Merged	Mast4:13:102852542-102852842:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102964311	102964803	Mast4:13:102964311-102964803:-1	Merged	Mast4:13:102964311-102964803:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103260732	103261145	Mast4:13:103260732-103261145:-1	Merged	Mast4:13:103260743-103261145:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103132882	103133308	Mast4:13:103132882-103133308:-1	Merged	Mast4:13:103132882-103133290:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103104541	103104943	Mast4:13:103104541-103104943:-1	Merged	Mast4:13:103104545-103104935:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102981850	102982282	Mast4:13:102981850-102982282:-1	Merged	Mast4:13:102981850-102982282:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102977931	102978447	Mast4:13:102977931-102978447:-1	Merged	Mast4:13:102977931-102978447:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103023134	103023530	Mast4:13:103023134-103023530:-1	Merged	Mast4:13:103023134-103023530:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102940068	102940476	Mast4:13:102940068-102940476:-1	Merged	Mast4:13:102940068-102940476:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102896792	102897188	Mast4:13:102896792-102897188:-1	Merged	Mast4:13:102896798-102897170:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102976035	102976454	Mast4:13:102976035-102976454:-1	Merged	Mast4:13:102976035-102976437:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103292146	103292554	Mast4:13:103292146-103292554:-1	Merged	Mast4:13:103292146-103292554:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103002494	103002902	Mast4:13:103002494-103002902:-1	Merged	Mast4:13:103002501-103002897:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103094175	103094613	Mast4:13:103094175-103094613:-1	Merged	Mast4:13:103094197-103094587:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103024151	103024607	Mast4:13:103024151-103024607:-1	Merged	Mast4:13:103024151-103024607:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102875537	102875961	Mast4:13:102875537-102875961:-1	Merged	Mast4:13:102875537-102875945:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77250366	77250689	Arhgap10:8:77250366-77250689:-1	Merged	Arhgap10:8:77250366-77250689:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77432739	77517834	Arhgap10:8:77432739-77517834:-1	Merged	Arhgap10:8:77432739-77517834:-1	TIP-example-Sham	non-juncs
Cd47	16	1	49911286	49911685	Cd47:16:49911286-49911685:1	Merged	Cd47:16:49911286-49911682:1	TIP-example-Sham	non-juncs
Cd47	16	1	49896389	49911089	Cd47:16:49896389-49911089:1	Merged	Cd47:16:49896389-49911089:1	TIP-example-Sham	non-juncs
Cd47	16	1	49914619	49915010	Cd47:16:49914619-49915010:1	Merged	Cd47:16:49914627-49915010:1	TIP-example-Sham	non-juncs
Cd47	16	1	49911894	49912242	Cd47:16:49911894-49912242:1	Merged	Cd47:16:49911894-49912242:1	TIP-example-Sham	non-juncs
Rgs3	4	1	62702619	62703022	Rgs3:4:62702619-62703022:1	Merged	Rgs3:4:62702620-62703022:1	TIP-example-Sham	non-juncs
Rgs3	4	1	62625745	62626153	Rgs3:4:62625745-62626153:1	Merged	Rgs3:4:62625745-62626153:1	TIP-example-Sham	non-juncs
Cxcl12	6	1	117168553	117176146	Cxcl12:6:117168553-117176146:1	Merged	Cxcl12:6:117168553-117176146:1	TIP-example-Sham	non-juncs
Cxcl12	6	1	117180974	117181367	Cxcl12:6:117180974-117181367:1	Merged	Cxcl12:6:117180974-117181367:1	TIP-example-Sham	non-juncs
Cxcl12	6	1	117174603	117175050	Cxcl12:6:117174603-117175050:1	Merged	Cxcl12:6:117174606-117175050:1	TIP-example-Sham	junctions
Kdr	5	-1	75932827	75933118	Kdr:5:75932827-75933118:-1	Merged	Kdr:5:75932827-75933114:-1	TIP-example-Sham	non-juncs
Kdr	5	-1	75933283	75933685	Kdr:5:75933283-75933685:-1	Merged	Kdr:5:75933283-75933685:-1	TIP-example-Sham	non-juncs
Lamp2	X	-1	38429865	38430285	Lamp2:X:38429865-38430285:-1	Unique_TIP-example-Sham	Lamp2:X:38429865-38430285:-1	TIP-example-Sham	non-juncs
Lamp2	X	-1	38421590	38424492	Lamp2:X:38421590-38424492:-1	Unique_TIP-example-Sham	Lamp2:X:38421590-38424492:-1	TIP-example-Sham	non-juncs
Lamp2	X	-1	38421120	38421540	Lamp2:X:38421120-38421540:-1	Unique_TIP-example-Sham	Lamp2:X:38421120-38421540:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8749069	8749465	Sash1:10:8749069-8749465:-1	Unique_TIP-example-Sham	Sash1:10:8749069-8749465:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8756580	8757084	Sash1:10:8756580-8757084:-1	Unique_TIP-example-Sham	Sash1:10:8756580-8757084:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8762000	8762384	Sash1:10:8762000-8762384:-1	Unique_TIP-example-Sham	Sash1:10:8762000-8762384:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8752303	8752735	Sash1:10:8752303-8752735:-1	Unique_TIP-example-Sham	Sash1:10:8752303-8752735:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8726857	8727229	Sash1:10:8726857-8727229:-1	Unique_TIP-example-Sham	Sash1:10:8726857-8727229:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8766973	8767381	Sash1:10:8766973-8767381:-1	Unique_TIP-example-Sham	Sash1:10:8766973-8767381:-1	TIP-example-Sham	non-juncs
Sash1	10	-1	8841933	8842323	Sash1:10:8841933-8842323:-1	Unique_TIP-example-Sham	Sash1:10:8841933-8842323:-1	TIP-example-Sham	junctions
Pecam1	11	-1	106667192	106667612	Pecam1:11:106667192-106667612:-1	Unique_TIP-example-Sham	Pecam1:11:106667192-106667612:-1	TIP-example-Sham	non-juncs
Pecam1	11	-1	106712387	106712819	Pecam1:11:106712387-106712819:-1	Unique_TIP-example-Sham	Pecam1:11:106712387-106712819:-1	TIP-example-Sham	non-juncs
